REF_DATE,GEO,DGUID,Age at time of death,Sex,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012-08-25,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4415,,,,0
2012-09-01,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4440,,,,0
2012-09-08,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4415,,,,0
2012-09-15,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4455,,,,0
2012-09-22,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4410,,,,0
2012-09-29,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4615,,,,0
2012-10-06,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4585,,,,0
2012-10-13,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4630,,,,0
2012-10-20,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4820,,,,0
2012-10-27,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4710,,,,0
2012-11-03,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4705,,,,0
2012-11-10,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4810,,,,0
2012-11-17,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4770,,,,0
2012-11-24,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4685,,,,0
2012-12-01,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4860,,,,0
2012-12-08,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4975,,,,0
2012-12-15,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4980,,,,0
2012-12-22,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5450,,,,0
2012-12-29,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5625,,,,0
2013-01-05,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,6045,,,,0
2013-01-12,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5925,,,,0
2013-01-19,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5830,,,,0
2013-01-26,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,5520,,,,0
